sunday,monday,tuesday,wednesday,thursday,friday,saturday,hourofday,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,passenger_count,estimated_distance,fare_amount
1,0,0,0,0,0,0,13,40.726352,-73.99172,40.751642,-73.974527,1,4.16163311622,7.7
0,0,0,0,0,1,0,8,40.774817,-73.950792,40.755451,-73.975152,1,3.91292610971,9.7
0,0,0,0,0,0,1,7,40.771275,-73.981928,40.781312,-73.979631,1,1.49019269693,4.5
0,0,0,0,0,0,1,11,40.757011,-73.981276,40.714912,-73.993716,2,6.31112263718,15.5
0,0,0,1,0,0,0,8,40.758224,-73.989243,40.770724,-73.865283,2,13.8559092044,43.83
1,0,0,0,0,0,0,17,40.759304,-73.98533,40.6488,-73.782501,1,27.7000909368,45.0
0,1,0,0,0,0,0,13,40.757681,-73.97615,40.749177,-73.98047,1,1.33297914478,7.3
0,0,0,0,0,1,0,21,40.721143,-73.9974,40.740896,-74.007658,2,3.1053532685,8.1
0,0,0,0,1,0,0,21,40.783576,-73.980446,40.74435,-73.980425,1,5.73834728173,14.1
0,1,0,0,0,0,0,19,40.772712,-73.981575,40.852122,-73.93925,1,12.5264310149,21.7
0,0,0,1,0,0,0,23,40.761677,-73.97927,40.749503,-73.991837,1,2.26076252605,6.9
0,0,1,0,0,0,0,14,40.748291,-73.984849,40.764692,-73.97698,2,2.55283420093,7.7
0,0,0,0,0,1,0,12,40.761328,-73.967789,40.774072,-73.954404,1,2.38220253201,10.9
0,0,0,0,1,0,0,9,40.769297,-73.960577,40.772753,-73.966792,1,0.854230823867,4.5
1,0,0,0,0,0,0,13,40.737327,-73.98429,40.720105,-74.009233,1,3.74078398475,9.5
0,0,0,1,0,0,0,9,40.750833,-73.974152,40.737882,-74.008218,1,4.22432797704,14.5
0,0,1,0,0,0,0,11,40.758145,-73.96295,40.753145,-74.003837,1,4.58952540719,15.5
0,0,0,1,0,0,0,6,40.762665,-73.967913,40.876497,-73.88157,1,19.2008842631,38.5
1,0,0,0,0,0,0,13,40.769002,-73.96137,40.712547,-73.821403,1,17.5751389714,37.0
1,0,0,0,0,0,0,21,40.648592,-73.784392,40.768195,-73.988952,5,28.6480052743,45.0
0,0,0,0,1,0,0,9,40.769388,-73.982198,40.782602,-73.971637,2,2.25954359296,7.3
0,0,1,0,0,0,0,15,40.746018,-73.97904,40.92984,-73.819797,1,32.152144629,50.9
1,0,0,0,0,0,0,13,40.714497,-74.015802,40.744872,-73.978292,1,6.08573959187,16.9
0,1,0,0,0,0,0,14,40.778112,-73.981623,40.773198,-73.990297,5,1.20005152469,4.9
0,0,1,0,0,0,0,20,40.749074,-73.972287,40.750693,-73.972271,1,0.236849076403,3.5
0,0,1,0,0,0,0,22,40.738372,-73.987763,40.768621,-73.961428,1,5.30080800861,13.5
0,0,1,0,0,0,0,9,40.767415,-73.92563,40.757192,-73.97106,1,5.25124762039,14.5
0,0,0,0,0,1,0,19,40.757639,-73.986003,40.748436,-73.976287,2,1.72390238423,5.3
0,0,0,0,0,1,0,11,40.705518,-74.007828,40.75526,-73.9758,1,8.09671813406,13.7
1,0,0,0,0,0,0,2,40.718939,-73.990363,40.749692,-73.987637,2,4.50897382404,9.3
0,1,0,0,0,0,0,21,40.74411,-73.989565,40.742157,-73.980732,1,1.01984347516,4.5
0,0,0,1,0,0,0,12,40.75198,-73.97587,40.75434,-73.98288,2,0.850099282246,5.5
1,0,0,0,0,0,0,21,40.723665,-73.990802,40.736692,-74.005683,1,2.52053797439,8.0
0,0,0,1,0,0,0,17,40.794622,-73.973892,40.764917,-73.978405,2,4.37418760712,11.5
0,0,0,0,0,1,0,15,40.749103,-73.97668,40.728575,-73.999993,1,3.96176453941,8.1
0,0,0,0,0,0,1,17,40.722673,-73.996987,40.714108,-73.95868,5,4.42829941313,10.1
1,0,0,0,0,0,0,13,40.760323,-73.995093,40.714113,-73.98917,1,6.79183830769,15.7
0,1,0,0,0,0,0,11,40.767997,-73.956152,40.762525,-73.969185,2,1.65106829726,4.9
0,0,0,0,0,0,1,3,40.744758,-73.9987,40.764168,-73.988715,3,3.0474531718,5.7
0,0,0,0,0,0,1,6,40.742213,-74.005895,40.79375,-73.946892,3,9.97876525839,14.9
0,1,0,0,0,0,0,20,40.757565,-73.989151,40.783547,-73.957251,3,5.19010759315,13.3
0,0,1,0,0,0,0,19,40.75922,-73.968732,40.74053,-73.983981,1,3.2142667716,7.7
0,0,0,0,0,0,1,3,40.7763710022,-73.9502182007,40.7887306213,-73.9476928711,1,1.82959148812,5.5
0,0,1,0,0,0,0,9,40.755585,-73.981878,40.758299,-73.972673,1,1.09457054698,6.0
1,0,0,0,0,0,0,18,40.75983,-73.973418,40.743786,-73.98924,2,2.92970147792,6.5
0,0,0,0,0,1,0,19,40.76036,-73.97112,40.740702,-73.978937,1,3.003407086,10.0
0,0,0,0,0,1,0,8,40.774577,-73.954268,40.75507,-73.986213,1,4.54656889231,15.0
0,0,0,0,1,0,0,22,40.722023,-73.985521,40.676226,-74.011563,1,7.29568221375,15.7
0,0,0,0,0,1,0,7,40.728924,-73.981489,40.717964,-73.999808,1,2.58758424268,6.9
0,0,0,1,0,0,0,15,40.713935,-74.013667,40.702992,-74.007627,2,1.73531730952,6.0
0,0,0,0,0,0,1,10,40.782897,-73.95517,40.779762,-73.94587,5,1.12764781787,6.0
0,0,0,1,0,0,0,17,40.775442,-73.97654,40.787382,-73.974245,2,1.76509818216,6.0
0,0,0,1,0,0,0,9,40.76206,-73.961582,40.760497,-73.96861,6,0.811610795257,6.5
0,0,0,1,0,0,0,9,40.810115,-73.96129,40.840858,-73.942767,1,4.94274624074,8.5
0,0,0,1,0,0,0,17,40.774077,-73.872972,40.77265,-73.962562,1,9.92740097401,32.33
0,0,0,0,0,0,1,17,40.732528,-73.995857,40.719425,-73.991303,5,1.9822040624,8.1
0,1,0,0,0,0,0,15,40.737055,-74.00549,40.740028,-74.006015,3,0.438794132232,4.1
0,0,1,0,0,0,0,0,40.726847,-73.97984,40.764412,-73.95895,1,5.96317101305,9.7
0,1,0,0,0,0,0,11,40.750407,-73.991057,40.735793,-73.992197,5,2.14160341315,5.7
0,0,0,0,0,0,1,17,40.780527,-73.948052,40.751073,-73.994087,1,6.67693758743,12.9
0,0,0,0,1,0,0,19,40.722044,-73.996462,40.716145,-73.987583,1,1.30914663315,4.9
0,0,0,0,0,1,0,15,40.75933,-73.970343,40.753313,-73.980308,1,1.41215010938,4.9
